crop,base_cost,yield,price
rice,25000,30,2200,
maize,20000,28,1800
chickpea,18000,12,5000
kidneybeans,19000,10,6000
pigeonpeas,22000,14,4800
mothbeans,16000,8,4200
mungbean,17000,10,4500
blackgram,18000,11,5200
lentil,19000,12,5500
pomegranate,60000,80,3000
banana,50000,90,1500
mango,70000,100,2000
grapes,80000,110,2200
watermelon,25000,40,1200
muskmelon,26000,38,1300
apple,90000,70,4000
orange,65000,75,2800
papaya,30000,50,1800
coconut,75000,120,1500
cotton,42000,22,6000
jute,38000,25,4500
coffee,85000,18,15000